permalink,collection,id,loc,uuid,artist,year,location,description,imageLink
https://digitalcollections.nypl.org/items/510d47df-fa1e-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1260369,,bd7b9a0-c6be-012f-13bb-58d385a7bc34,,1935-1943,"Astoria, New York",Women sewing at Astoria Work Experience Center,https://images.nypl.org/index.php?id=1260369&t=w
https://digitalcollections.nypl.org/items/510d47de-8413-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1213443,,3d439de0-c6d1-012f-9d22-58d385a7bc34,United States Army Signal Corp.,1939-1945,"Jersey City, New Jersey",Women in the Repair Depot repair military clothing,https://images.nypl.org/index.php?id=1213443&t=w
https://digitalcollections.nypl.org/items/510d47df-f990-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1260224,,a60329d0-c612-012f-d814-58d385a7bc34,"Lee, Russell",1940-1949,"Chicago, Illinois",Women working as insurance clerks,https://images.nypl.org/index.php?id=1260224&t=w
https://digitalcollections.nypl.org/items/510d47de-8728-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1212143,,aa1fc610-c612-012f-447c-58d385a7bc34,"Lee, Russell",1941,"Chicago, Illinois","Congregation of Store Front Baptist Church, Chicago",https://images.nypl.org/index.php?id=1212143&t=w
https://digitalcollections.nypl.org/items/79c17ca1-7a0b-103e-e040-e00a18067ff9,Schomburg Center for Research in Black Culture,1806595,,d5b40110-c628-012f-32ce-58d385a7bc34,"Holt, Norma",1953,"State Board of Pardons and Parole, Georgie",Women await Rosa Lee's parole hearing in Georgia,https://images.nypl.org/index.php?id=1806595&t=w
https://digitalcollections.nypl.org/items/7b07ea5c-6223-6b59-e040-e00a18065a4d,Schomburg Center for Research in Black Culture,1811321,,303a6f20-c62a-012f-6e74-58d385a7bc34,,1920-1929,,Group of Women sit at Restaurant counter,https://images.nypl.org/index.php?id=1811321&t=w
https://digitalcollections.nypl.org/items/510d47de-1d46-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1169405,,9b707e10-c6b3-012f-8190-3c075448cc4b,"Olcott, Jane",1914-1918,"New York, New York",Group of women leisurely reading,https://images.nypl.org/index.php?id=1169405&t=w
https://digitalcollections.nypl.org/items/510d47df-f98f-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1260223,,a5850260-c612-012f-c3eb-58d385a7bc34,"Lee, Russell",1950-1959,"Chicago, Illinois",Young women play violin and piano,https://images.nypl.org/index.php?id=1260223&t=w
https://digitalcollections.nypl.org/items/510d47de-842f-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1213441,,3b722300-c6d1-012f-7aba-58d385a7bc34,"Smith, Roger",1942-1943,"Lucy D. Slowe Residence Hall, Washington D.C.",Women play cards in their residence,https://images.nypl.org/index.php?id=1213441&t=w
https://digitalcollections.nypl.org/items/510d47de-1d43-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1169402,,8c790dd0-c6b3-012f-f157-3c075448cc4b,"Olcott, Jane",1914-1918,"New York, New York",Women in pottery class,https://images.nypl.org/index.php?id=1169402&t=w
